indonesian,english
aku,"I, me"
saya,"I, me (formal)"
kamu,you (informal)
anda,you (formal)
dia,"he, she"
kami,we (exclusive)
kita,we (inclusive)
mereka,"they, them"
ini,"this, these"
itu,"that, those"
yang,"which, that, who"
dan,and
atau,or
tapi,but
jika,"if, whether"
karena,because
untuk,"for, in order to"
dengan,with
dari,from
di,"in, at, on"
ke,"to, toward"
pada,"at, on, to"
oleh,by
tentang,about
antara,between
tanpa,without
sebelum,before
sesudah,after
selama,during
sejak,since
hingga,until
sampai,"until, arrive"
seperti,"like, as"
daripada,than
menurut,according to
melalui,through
terhadap,"toward, against"
tidak,not
bukan,not (for nouns)
tak,"not, no"
jangan,don't
belum,not yet
sudah,already
akan,"will, shall, going to"
sedang,"currently, in the process of"
masih,still
pernah,ever
harus,"must, have to"
bisa,"can, able to"
boleh,may
mau,"want, want to"
perlu,"need, necessary"
ada,"there is, exist, have"
adalah,"is, am, are"
jadi,"so, become"
menjadi,become
tetap,"remain, still"
satu,one
dua,two
tiga,three
empat,four
lima,five
enam,six
tujuh,seven
delapan,eight
sembilan,nine
sepuluh,ten
puluh,tens (multiplier)
ratus,hundred
ribu,thousand
juta,million
pertama,first
kedua,second
ketiga,third
semua,all
setiap,every
banyak,many
sedikit,"few, a little"
beberapa,some
lain,other
sama,same
berbeda,different
lebih,more
kurang,less
paling,most (superlative)
sangat,very
cukup,enough
terlalu,too (excessive)
sekali,very; once
agak,"somewhat, rather"
hampir,almost
hanya,only
juga,also
lagi,"again, more"
selalu,always
sering,often
kadang,sometimes
jarang,rarely
biasanya,usually
segera,"immediately, soon"
sekarang,now
nanti,later
kemarin,yesterday
besok,tomorrow
hari,day
minggu,week
bulan,month
tahun,year
pagi,morning
siang,"afternoon, daytime"
sore,late afternoon
malam,"night, evening"
waktu,time
jam,"hour, clock"
menit,minute
detik,second (time)
masa,"time, period, era"
era,era
dini,early
tadi,"earlier, just now"
orang,"person, people"
pria,"man, male"
wanita,"woman, female"
anak,child
bayi,baby
bocah,"child, kid"
ayah,"father, dad"
ibu,mother
kakak,older sibling
